accuracy,responseTime,attempts,hintsUsed,completed,currentDifficulty,recentScore,previousScore,successStreak,target
0.25,28.0,9,3,1,1,1,2,0,gentle
0.50,24.5,8,2,1,1,2,2,0,gentle
0.33,32.0,10,4,0,1,1,1,0,gentle
0.40,22.0,7,3,1,0,2,1,0,gentle
0.50,26.0,8,2,1,2,2,2,0,gentle
0.20,35.0,11,4,0,1,1,1,0,gentle
0.60,21.0,7,2,1,0,2,2,0,gentle
0.45,29.0,9,3,1,1,2,1,0,gentle
0.30,30.0,10,3,0,2,1,2,0,gentle
0.50,25.0,8,2,1,1,2,2,0,gentle
0.75,14.0,5,1,1,1,3,3,1,adaptive
0.75,16.5,5,1,1,1,3,3,2,adaptive
0.80,13.0,5,0,1,0,3,2,1,adaptive
0.70,18.0,6,1,1,1,3,3,1,adaptive
0.75,15.0,5,1,1,1,3,4,0,adaptive
0.65,17.0,6,2,1,1,3,3,0,adaptive
0.80,12.5,5,1,1,1,3,3,2,adaptive
0.75,14.5,5,1,1,1,3,2,1,adaptive
1.00,7.5,4,0,1,1,4,4,3,challenging
1.00,8.2,4,0,1,2,4,4,4,challenging
0.95,9.0,4,0,1,1,4,4,3,challenging
1.00,6.8,4,0,1,2,4,4,5,challenging
0.90,10.0,4,0,1,1,4,3,3,challenging
1.00,8.0,4,0,1,1,4,4,4,challenging
0.95,9.5,4,0,1,2,4,4,3,challenging
